obd,site_name,treat_name,time,fold01,fold02,fold03
3290,Berridale_Australia,Berridale_CG,2011,1,0,1
2950,Berridale_Australia,Berridale_TG,2011,1,0,1
2560,Berridale_Australia,Berridale_NG,2011,1,0,1
4990.45,Ceplac,Ceplac_GL,1994,1,0,1
5231.89,Ceplac,Ceplac_GL,1997,1,0,1
4944.14,Ceplac,Ceplac_Grass,1994,1,0,1
4939.06,Ceplac,Ceplac_Grass,1997,1,0,1
7460,Cheyenne_WY,Cheyenne_EX,2003,0,1,1
8620,Cheyenne_WY,Cheyenne_LG,2003,0,1,1
6756.75,ElReno_OK,ElReno_RS,2017,1,1,0
7020.3,ElReno_OK,ElReno_CS,2017,1,1,0
5125.25,EPS,EPS_EG,2014,1,1,0
5725.34,EPS,EPS_EG,2015,1,1,0
4818.21,EPS,EPS_ICL,2014,1,1,0
5032.3,EPS,EPS_ICL,2015,1,1,0
7182,EspinilhoFarm,EspinilhoFarm_ILP10,2010,1,0,1
8338.4,EspinilhoFarm,EspinilhoFarm_ILP20,2010,1,0,1
8338.4,EspinilhoFarm,EspinilhoFarm_ILP30,2010,1,0,1
8216.6,EspinilhoFarm,EspinilhoFarm_ILP40,2010,1,0,1
8400,EspinilhoFarm,EspinilhoFarm_ILPNG,2010,1,0,1
5770,Fargo_ND,Fargo_NatGG,2004,0,1,1
6260,Fargo_ND,Fargo_NatNG,2004,0,1,1
3840,Farmington_GA,Farmington_CL_IN_UH,1999,0,1,1
4710,Farmington_GA,Farmington_CL_IN_LH,1999,0,1,1
4430,Farmington_GA,Farmington_CL_IN_HG,1999,0,1,1
3650,Farmington_GA,Farmington_CL_IN_HAY,1999,0,1,1
3970,Farmington_GA,Farmington_IN_UH,1999,0,1,1
4400,Farmington_GA,Farmington_IN_LG,1999,0,1,1
3830,Farmington_GA,Farmington_IN_HG,1999,0,1,1
3520,Farmington_GA,Farmington_IN_HAY,1999,0,1,1
6370,Kamloops_BC,Kamloops_NG,2008,0,1,1
5750,Kamloops_BC,Kamloops_GG,2008,0,1,1
5980,Kamloops_BC,Kamloops_GG_SR,2008,0,1,1
6150,Kamloops_BC,Kamloops_GG_FL,2008,0,1,1
6400,Lusignan,Lusignan_GG,2014,1,0,1
5510,Lusignan,Lusignan_MW,2014,1,0,1
9325,Mandan_ND,Mandan_HG,2003,1,0,1
8212,Mandan_ND,Mandan_MG,2003,1,0,1
9234,Mandan_ND,Mandan_FCW,2003,1,0,1
3820,MilesCity_MT,MilesCity_NG,2018,1,1,0
3780,MilesCity_MT,MilesCity_HG_SUM,2018,1,1,0
3650,MilesCity_MT,MilesCity_MG_SUM,2018,1,1,0
3990,MilesCity_MT,MilesCity_HG_FALL,2018,1,1,0
3770,MilesCity_MT,MilesCity_MG_FALL,2018,1,1,0
5927,MouraFarm,MouraFarm_PAST,2018,0,1,1
6584,MouraFarm,MouraFarm_MAR,2018,0,1,1
4690,NoCo,NoCo_IP_CP,2020,0,1,1
4445,NoCo,NoCo_IP_NCP,2020,0,1,1
3897,NoCo,NoCo_DR_CP,2020,0,1,1
3587,NoCo,NoCo_DR_NCP,2020,0,1,1
4752,Sandhills,Sandhills_4PR1,2018,1,0,1
4292,Sandhills,Sandhills_4PR2,2018,1,0,1
4190,Sandhills,Sandhills_CNT,2018,1,0,1
4071,Sandhills,Sandhills_MOB,2018,1,0,1
4767,SwiftCurrent_Canada,SwiftCurrent_HGc3c4,2004,1,1,0
4760,SwiftCurrent_Canada,SwiftCurrent_HGc3c4,2008,1,1,0
4932,SwiftCurrent_Canada,SwiftCurrent_HGc3c4,2014,1,1,0
3706,SwiftCurrent_Canada,SwiftCurrent_HGc3,2004,1,1,0
3512,SwiftCurrent_Canada,SwiftCurrent_HGc3,2008,1,1,0
4154,SwiftCurrent_Canada,SwiftCurrent_HGc3,2014,1,1,0
4214,SwiftCurrent_Canada,SwiftCurrent_LGc3c4,2004,1,1,0
3908,SwiftCurrent_Canada,SwiftCurrent_LGc3c4,2008,1,1,0
4379,SwiftCurrent_Canada,SwiftCurrent_LGc3c4,2014,1,1,0
4640,SwiftCurrent_Canada,SwiftCurrent_LGc3,2004,1,1,0
4356,SwiftCurrent_Canada,SwiftCurrent_LGc3,2008,1,1,0
4760,SwiftCurrent_Canada,SwiftCurrent_LGc3,2014,1,1,0
2021.9946,Wambiana_Australia,Wambiana_MG,1999,1,1,0
1970.1482,Wambiana_Australia,Wambiana_MG,2000,1,1,0
1970.1482,Wambiana_Australia,Wambiana_MG,2001,1,1,0
1970.1482,Wambiana_Australia,Wambiana_MG,2002,1,1,0
1952.8662,Wambiana_Australia,Wambiana_MG,2003,1,1,0
1970.1487,Wambiana_Australia,Wambiana_MG,2004,1,1,0
