pair_name,SOC_change,numOfYears,sim_DayCent_change,sim_DayCent-IGM_change,obd_rate,DayCent_rate,DayCent-IGM_rate
Berridale_CG_2011_Berridale_NG_2011,730,2,-12.455,791.6,3.65,-0.062,3.958
Berridale_TG_2011_Berridale_NG_2011,390,2,5.425,132.8,1.95,0.027,0.664
ElReno_CS_2017_ElReno_RS_2017,-670.95,8,-217.173,-763.2,-0.839,-0.271,-0.954
EPS_ICL_2014_EPS_EG_2014,158.25,4,57.079,142.4,0.396,0.143,0.356
EspinilhoFarm_ILP10_2010_EspinilhoFarm_ILPNG_2010,-1218,9,-330.213,-332.1,-1.353,-0.367,-0.369
EspinilhoFarm_ILP20_2010_EspinilhoFarm_ILPNG_2010,-61.6,9,-9.015,-20.7,-0.068,-0.01,-0.023
EspinilhoFarm_ILP40_2010_EspinilhoFarm_ILPNG_2010,-183.4,9,78.415,40.5,-0.204,0.087,0.045
EspinilhoFarm_ILP30_2010_EspinilhoFarm_ILPNG_2010,-61.6,9,80.425,36,-0.068,0.089,0.04
Farmington_CL_IN_UH_1999_Farmington_CL_IN_HAY_1999,190,5,-40.689,-33,0.38,-0.081,-0.066
Farmington_CL_IN_LH_1999_Farmington_CL_IN_HAY_1999,790,5,74.993,180,1.58,0.15,0.36
Farmington_CL_IN_HG_1999_Farmington_CL_IN_LH_1999,-180,5,-125.3,-121,-0.36,-0.251,-0.242
Farmington_CL_IN_HAY_1999_Farmington_CL_IN_UH_1999,-190,5,40.689,33,-0.38,0.081,0.066
Farmington_CL_IN_LH_1999_Farmington_CL_IN_UH_1999,600,5,115.682,122.5,1.2,0.231,0.245
Farmington_CL_IN_HG_1999_Farmington_CL_IN_UH_1999,420,5,-9.618,91.5,0.84,-0.019,0.183
Farmington_IN_UH_1999_Farmington_IN_HAY_1999,450,5,86.016,82.5,0.9,0.172,0.165
Farmington_IN_HAY_1999_Farmington_IN_UH_1999,-450,5,-86.016,-107.5,-0.9,-0.172,-0.215
Kamloops_GG_FL_2008_Kamloops_GG_2008,590,10,1115.983,1034,0.59,1.116,1.034
Kamloops_GG_SR_2008_Kamloops_GG_2008,400,10,1094.701,822,0.4,1.095,0.822
Kamloops_GG_SR_2008_Kamloops_GG_FL_2008,-190,10,-21.282,-12,-0.19,-0.021,-0.012
Kamloops_GG_2008_Kamloops_NG_2008,-970,10,-1117.7,-1034,-0.97,-1.118,-1.034
Mandan_MG_2003_Mandan_FCW_2003,-182,44,61.136,-202.4,-0.041,0.014,-0.046
Mandan_FCW_2003_Mandan_HG_2003,189,44,258.025,400.4,0.043,0.059,0.091
Mandan_MG_2003_Mandan_HG_2003,7,44,319.161,202.4,0.002,0.073,0.046
MilesCity_HG_SUM_2018_MilesCity_NG_2018,-40,5,-40.589,-14,-0.08,-0.081,-0.028
MilesCity_MG_FALL_2018_MilesCity_NG_2018,-30,5,-14.332,-5,-0.06,-0.029,-0.01
MilesCity_MG_SUM_2018_MilesCity_NG_2018,-250,5,-21.757,-9,-0.5,-0.044,-0.018
Sandhills_MOB_2018_Sandhills_CNT_2018,-136,8,-370.358,-309.6,-0.17,-0.463,-0.387
Sandhills_4PR1_2018_Sandhills_CNT_2018,562,8,-32.11,2.4,0.703,-0.04,0.003
